ENSMUST00000103506	IGHV1-20
ENSMUST00000195790	IGHV1-21-1
ENSMUST00000194856	IGHV1-21
ENSMUST00000103507	IGHV1-22
ENSMUST00000194625	IGHV1-23
ENSMUST00000191861	IGHV1-24
ENSMUST00000103509	IGHV1-24
ENSMUST00000195638	IGHV1-25
ENSMUST00000103510	IGHV1-26
ENSMUST00000194473	IGHV1-27
ENSMUST00000192987	IGHV1-28
ENSMUST00000103363	IGKV4-50
ENSMUST00000197714	IGKV12-49
ENSMUST00000103364	IGKV5-48
ENSMUST00000196961	IGKV12-47
ENSMUST00000103365	IGKV12-46
ENSMUST00000103366	IGKV5-45
ENSMUST00000103367	IGKV12-44
ENSMUST00000103368	IGKV5-43
ENSMUST00000198769	IGKV12-42
ENSMUST00000103369	IGKV12-41
ENSMUST00000196457	IGKV5-40-1
ENSMUST00000199208	IGKV12-40
ENSMUST00000197290	IGKV5-39
ENSMUST00000103370	IGKV5-39
ENSMUST00000198880	IGKV12-38
ENSMUST00000103371	IGKV12-38
ENSMUST00000103372	IGKV5-37
ENSMUST00000200160	IGKV18-36
ENSMUST00000103373	IGKV18-36
ENSMUST00000197820	IGKV1-35
ENSMUST00000103374	IGKV1-35
ENSMUST00000196959	IGKV8-34
ENSMUST00000197429	IGKV7-33
ENSMUST00000103376	IGKV7-33
ENSMUST00000103377	IGKV6-32
ENSMUST00000200040	IGKV8-31
ENSMUST00000103378	IGKV8-30
ENSMUST00000197371	IGKV6-29
ENSMUST00000103379	IGKV6-29
ENSMUST00000197525	IGKV8-28
ENSMUST00000103380	IGKV8-28
ENSMUST00000197272	IGKV8-27
ENSMUST00000103381	IGKV8-27
ENSMUST00000103382	IGKV8-26
ENSMUST00000103383	IGKV6-25
ENSMUST00000103384	IGKV8-24
ENSMUST00000103386	IGKV6-23
ENSMUST00000199501	IGKV8-22
ENSMUST00000103387	IGKV8-21
ENSMUST00000103388	IGKV6-20
ENSMUST00000196599	IGKV8-19
ENSMUST00000103389	IGKV8-19
ENSMUST00000103390	IGKV8-18
ENSMUST00000103394	IGKV6-14
ENSMUST00000198184	IGKV6-13
ENSMUST00000103395	IGKV6-13
ENSMUST00000197093	IGKV3-12-1
ENSMUST00000103396	IGKV3-12
ENSMUST00000197500	IGKV3-11
ENSMUST00000196940	IGKV3-10
ENSMUST00000103397	IGKV3-10
ENSMUST00000103398	IGKV3-9
ENSMUST00000197635	IGKV3-8
ENSMUST00000197560	IGKV3-7
ENSMUST00000103399	IGKV3-7
ENSMUST00000196007	IGKV3-6
ENSMUST00000103400	IGKV3-5
ENSMUST00000103391	IGKV6-17
ENSMUST00000195945	IGKV8-16
ENSMUST00000103392	IGKV8-16
ENSMUST00000103401	IGKV3-4
ENSMUST00000103402	IGKV3-3
ENSMUST00000103403	IGKV3-2
ENSMUST00000103404	IGKV3-1
ENSMUST00000103408	IGKJ4
ENSMUST00000198234	IGKJ2
ENSMUST00000103406	IGKJ2
ENSMUST00000199459	IGKJ5
ENSMUST00000103409	IGKJ5
ENSMUST00000199487	IGKJ3
ENSMUST00000103407	IGKJ3
ENSMUST00000103410	IGKC
ENSMUST00000103405	IGKJ1
ENSMUST00000103393	IGKV6-15
ENSMUST00000192430	IGHV6-2
ENSMUST00000195884	IGHV9-1
ENSMUST00000103471	IGHV9-1
ENSMUST00000195542	IGHV12-1
ENSMUST00000103472	IGHV9-2
ENSMUST00000191949	IGHV12-2
ENSMUST00000103473	IGHV9-3
ENSMUST00000103461	IGHV7-3
ENSMUST00000194450	IGHV15-1
ENSMUST00000195706	IGHV14-4
ENSMUST00000103475	IGHV14-4
ENSMUST00000191693	IGHV3-3
ENSMUST00000103476	IGHV3-3
ENSMUST00000192499	IGHV7-4
ENSMUST00000103477	IGHV7-4
ENSMUST00000193408	IGHV3-4
ENSMUST00000195619	IGHV3-5
ENSMUST00000103479	IGHV3-5
ENSMUST00000103480	IGHV13-1
ENSMUST00000195124	IGHV3-6
ENSMUST00000103481	IGHV3-6
ENSMUST00000194159	IGHV9-4
ENSMUST00000103482	IGHV9-4
ENSMUST00000193370	IGHV3-7
ENSMUST00000191935	IGHV5-21
ENSMUST00000103483	IGHV3-8
ENSMUST00000194897	IGHV8-1
ENSMUST00000194912	IGHV1-1
ENSMUST00000125484	IGHV13-2
ENSMUST00000183954	IGHV13-2
ENSMUST00000103485	IGHV12-3
ENSMUST00000103486	IGHV6-3
ENSMUST00000191918	IGHV6-4
ENSMUST00000177949	IGHV6-4
ENSMUST00000193936	IGHV6-5
ENSMUST00000179796	IGHV6-5
ENSMUST00000103489	IGHV6-6
ENSMUST00000193397	IGHV6-7
